repo,revision,parquet_path,bytes,expected_sha256,actual_sha256,verified,status,local_path
SALT-NLP/mmlu-pro-context-baseline-mistr,769c045650c18e2e09d0dcae556b876edc19eaf9,data/train-00000-of-00001.parquet,3591559,2decee5e359b99e67e28a03c7ef8cd85e21be9e232a5da0ad1f7ae659db99a61,2decee5e359b99e67e28a03c7ef8cd85e21be9e232a5da0ad1f7ae659db99a61,True,cached,SALT-NLP--mmlu-pro-context-baseline-mistr/769c045650c18e2e09d0dcae556b876edc19eaf9/data/train-00000-of-00001.parquet
SALT-NLP/mmlu-pro-ctx-screen-mistr,c394e12808a6ace524b17e0e6384dd7c9d3a3495,data/train-00000-of-00001.parquet,4963893,7783cce53790d7baffb6c8868e1ea94515880f24d1693daed91bb7ada6dfdab8,7783cce53790d7baffb6c8868e1ea94515880f24d1693daed91bb7ada6dfdab8,True,cached,SALT-NLP--mmlu-pro-ctx-screen-mistr/c394e12808a6ace524b17e0e6384dd7c9d3a3495/data/train-00000-of-00001.parquet
SALT-NLP/mmlu-pro-context-baseline-gptos,efe0c8b807f44b7259d12325de1f2e009d62c787,data/train-00000-of-00001.parquet,4045269,ea7c27a54a89875bb8e8f88a295040b0031d050e3f45573bc38489f2faee5f4a,ea7c27a54a89875bb8e8f88a295040b0031d050e3f45573bc38489f2faee5f4a,True,cached,SALT-NLP--mmlu-pro-context-baseline-gptos/efe0c8b807f44b7259d12325de1f2e009d62c787/data/train-00000-of-00001.parquet
SALT-NLP/mmlu-pro-ctx-screen-gptos,11591f17776937f9216aa0f9374d24868d371b31,data/train-00000-of-00001.parquet,4533377,758ebc01b6fd3d095c8f680d9476582def57fa5c06791087072941f6caa8160e,758ebc01b6fd3d095c8f680d9476582def57fa5c06791087072941f6caa8160e,True,cached,SALT-NLP--mmlu-pro-ctx-screen-gptos/11591f17776937f9216aa0f9374d24868d371b31/data/train-00000-of-00001.parquet
SALT-NLP/mmlu-pro-context-baseline-gemin,4da0baa21042f9533b756299903b9e5ffa3ecefb,data/train-00000-of-00001.parquet,3098605,44cd146ae6b4b4924adfa6f23a7cbc781ebd8f829618d42d5eb8f25ac32a412d,44cd146ae6b4b4924adfa6f23a7cbc781ebd8f829618d42d5eb8f25ac32a412d,True,cached,SALT-NLP--mmlu-pro-context-baseline-gemin/4da0baa21042f9533b756299903b9e5ffa3ecefb/data/train-00000-of-00001.parquet
SALT-NLP/mmlu-pro-ctx-screen-gemin,1aabdac2ccd577df7b3967f679cae5ed6e4f42c8,data/train-00000-of-00001.parquet,3803989,b22943cd1f51be0ca63a011186524f15b1c5da6f806a06b0e3b91a8a2d1e16c1,b22943cd1f51be0ca63a011186524f15b1c5da6f806a06b0e3b91a8a2d1e16c1,True,cached,SALT-NLP--mmlu-pro-ctx-screen-gemin/1aabdac2ccd577df7b3967f679cae5ed6e4f42c8/data/train-00000-of-00001.parquet
SALT-NLP/gpqa_diamond-context-baseline-gpt55,d2ce0eec0a62f486780f76ca4702524a5b45d5dd,data/train-00000-of-00001.parquet,704070,4c98c53c666c00adf0354d47305f833a7690b005f39ca9650effb9b25d5fd218,4c98c53c666c00adf0354d47305f833a7690b005f39ca9650effb9b25d5fd218,True,cached,SALT-NLP--gpqa_diamond-context-baseline-gpt55/d2ce0eec0a62f486780f76ca4702524a5b45d5dd/data/train-00000-of-00001.parquet
SALT-NLP/gpqa_diamond-ctx-screen-gpt55,454b94d55b0f7d218ae7d8f11dbb0dcf91a26038,data/train-00000-of-00001.parquet,922091,ccaa558ee41da580fd3432635b5cfde6bd33eefc553898dd695ed92679815002,ccaa558ee41da580fd3432635b5cfde6bd33eefc553898dd695ed92679815002,True,cached,SALT-NLP--gpqa_diamond-ctx-screen-gpt55/454b94d55b0f7d218ae7d8f11dbb0dcf91a26038/data/train-00000-of-00001.parquet
SALT-NLP/gpqa_diamond-context-baseline-gpt54,c80dc9e3fbb76a193b0393e6b572d6323072067a,data/train-00000-of-00001.parquet,902571,589066d6ccf37e4f7cb8a8363ebf8d5060f8f5deb5d3a7ba7c207f7ea5bdd8c2,589066d6ccf37e4f7cb8a8363ebf8d5060f8f5deb5d3a7ba7c207f7ea5bdd8c2,True,cached,SALT-NLP--gpqa_diamond-context-baseline-gpt54/c80dc9e3fbb76a193b0393e6b572d6323072067a/data/train-00000-of-00001.parquet
SALT-NLP/gpqa_diamond-ctx-screen-gpt54,7ae537566ece00e43a85dd7fdcc6519dc938f81d,data/train-00000-of-00001.parquet,1077704,729b3ad535380ef5a51265576ad8e694e059262481789386ade023d8fb0d5d5d,729b3ad535380ef5a51265576ad8e694e059262481789386ade023d8fb0d5d5d,True,cached,SALT-NLP--gpqa_diamond-ctx-screen-gpt54/7ae537566ece00e43a85dd7fdcc6519dc938f81d/data/train-00000-of-00001.parquet
SALT-NLP/gpqa_diamond-context-baseline-gpt41,86d7e56de5c56c40805692321088c21d24b9d407,data/train-00000-of-00001.parquet,2769406,4302eabc730b5945f70f5a4b25ff1cfad8d69c3b98ff2c007b22476d561c4c0f,4302eabc730b5945f70f5a4b25ff1cfad8d69c3b98ff2c007b22476d561c4c0f,True,cached,SALT-NLP--gpqa_diamond-context-baseline-gpt41/86d7e56de5c56c40805692321088c21d24b9d407/data/train-00000-of-00001.parquet
SALT-NLP/gpqa_diamond-ctx-screen-gpt41,0d63307fce3ad653caa8fc07d8714a84d0f98524,data/train-00000-of-00001.parquet,3175307,b2680ea0b946247a299a41f2650bd5c0f2bd5b519eab704045af1dfcab143274,b2680ea0b946247a299a41f2650bd5c0f2bd5b519eab704045af1dfcab143274,True,cached,SALT-NLP--gpqa_diamond-ctx-screen-gpt41/0d63307fce3ad653caa8fc07d8714a84d0f98524/data/train-00000-of-00001.parquet
SALT-NLP/gpqa_diamond-context-baseline-deep,9240efbaed0418427c874bbb5c569f31f653e9c6,data/train-00000-of-00001.parquet,1776962,983c5fb2944ac4c0f4d3cb43f984789426ef924b677206d1b9ce0af19e27199b,983c5fb2944ac4c0f4d3cb43f984789426ef924b677206d1b9ce0af19e27199b,True,cached,SALT-NLP--gpqa_diamond-context-baseline-deep/9240efbaed0418427c874bbb5c569f31f653e9c6/data/train-00000-of-00001.parquet
SALT-NLP/gpqa_diamond-ctx-screen-deep,b230a4206b6087cb2fe395f3e6cef514f63987c2,data/train-00000-of-00001.parquet,1883031,652eff9bc24892fe7034f39c13d9d357366560daf670f26f1a9a02ad6930d87b,652eff9bc24892fe7034f39c13d9d357366560daf670f26f1a9a02ad6930d87b,True,cached,SALT-NLP--gpqa_diamond-ctx-screen-deep/b230a4206b6087cb2fe395f3e6cef514f63987c2/data/train-00000-of-00001.parquet
SALT-NLP/gpqa_diamond-context-baseline-grok,8f2d6af9502589eac755f3dc7e27893b64f891c6,data/train-00000-of-00001.parquet,1933372,c701f3d0c6d194da08aebbc8d290f0cffb48604b3e66e936315c5745575f12d7,c701f3d0c6d194da08aebbc8d290f0cffb48604b3e66e936315c5745575f12d7,True,cached,SALT-NLP--gpqa_diamond-context-baseline-grok/8f2d6af9502589eac755f3dc7e27893b64f891c6/data/train-00000-of-00001.parquet
SALT-NLP/gpqa_diamond-ctx-screen-grok,cd5530d01d49dee94675e6be8b5590f12f1be41a,data/train-00000-of-00001.parquet,2093822,0ac95d2c766168ec8a463a31cefeaf7b16661f8c9e2b6b6ff1fd91af70261701,0ac95d2c766168ec8a463a31cefeaf7b16661f8c9e2b6b6ff1fd91af70261701,True,cached,SALT-NLP--gpqa_diamond-ctx-screen-grok/cd5530d01d49dee94675e6be8b5590f12f1be41a/data/train-00000-of-00001.parquet
SALT-NLP/gpqa_diamond-context-baseline-mistr,6b270b2dcc75c1b1c938e3dad9cf6f640c035262,data/train-00000-of-00001.parquet,2005657,06616bba302874f44aa95076424c57ed9397eeab6bec27b2886781ea306e4fea,06616bba302874f44aa95076424c57ed9397eeab6bec27b2886781ea306e4fea,True,cached,SALT-NLP--gpqa_diamond-context-baseline-mistr/6b270b2dcc75c1b1c938e3dad9cf6f640c035262/data/train-00000-of-00001.parquet
SALT-NLP/gpqa_diamond-ctx-screen-mistr,d7fd4157edd3b73cb5ad8d188c336958793f93f9,data/train-00000-of-00001.parquet,2743516,870932f0eeba3766a7a0fae419782268cbaf7c9659cca2880db954dc07cd987f,870932f0eeba3766a7a0fae419782268cbaf7c9659cca2880db954dc07cd987f,True,cached,SALT-NLP--gpqa_diamond-ctx-screen-mistr/d7fd4157edd3b73cb5ad8d188c336958793f93f9/data/train-00000-of-00001.parquet
SALT-NLP/gpqa_diamond-context-baseline-gptos,8cecabc636e6152d095d3175de6d4f9f39fc4884,data/train-00000-of-00001.parquet,3159941,59118b339a5563ad2161f0f8b78aa19b30f6010bbfbfad10f490147707be2a41,59118b339a5563ad2161f0f8b78aa19b30f6010bbfbfad10f490147707be2a41,True,cached,SALT-NLP--gpqa_diamond-context-baseline-gptos/8cecabc636e6152d095d3175de6d4f9f39fc4884/data/train-00000-of-00001.parquet
SALT-NLP/gpqa_diamond-ctx-screen-gptos,b343b56a979cd78ad0c09e6848e2ad985573db01,data/train-00000-of-00001.parquet,3316960,7d671c2f5400407751c7bb912ceb2a538815292b5c1e473ad0365e3a6431661a,7d671c2f5400407751c7bb912ceb2a538815292b5c1e473ad0365e3a6431661a,True,cached,SALT-NLP--gpqa_diamond-ctx-screen-gptos/b343b56a979cd78ad0c09e6848e2ad985573db01/data/train-00000-of-00001.parquet
SALT-NLP/gpqa_diamond-context-baseline-gemin,b4f3dd86756465e38c836efb2c4b119b7f6cc91e,data/train-00000-of-00001.parquet,2002497,73aba94dc29cf7f4613a092534c88e179f031ecdae0088f956fcfec3ee50c4b5,73aba94dc29cf7f4613a092534c88e179f031ecdae0088f956fcfec3ee50c4b5,True,cached,SALT-NLP--gpqa_diamond-context-baseline-gemin/b4f3dd86756465e38c836efb2c4b119b7f6cc91e/data/train-00000-of-00001.parquet
SALT-NLP/gpqa_diamond-ctx-screen-gemin,a2a5755fb092f14f55ef283537f2df7e4d8405cb,data/train-00000-of-00001.parquet,2240098,cd303374b1eb9336130f9ebad33fc2f6bafab179edd7e7e23b271aa0506ce824,cd303374b1eb9336130f9ebad33fc2f6bafab179edd7e7e23b271aa0506ce824,True,cached,SALT-NLP--gpqa_diamond-ctx-screen-gemin/a2a5755fb092f14f55ef283537f2df7e4d8405cb/data/train-00000-of-00001.parquet
SALT-NLP/hle-context-baseline-gpt55,db05b91738b829b026dc5915bb242a2802207909,data/train-00000-of-00001.parquet,3769642,7bd509dc09bfbef3fb37a75111897baf9b82d8a20f3d2dfa79bd50148973bb41,7bd509dc09bfbef3fb37a75111897baf9b82d8a20f3d2dfa79bd50148973bb41,True,cached,SALT-NLP--hle-context-baseline-gpt55/db05b91738b829b026dc5915bb242a2802207909/data/train-00000-of-00001.parquet
SALT-NLP/hle-ctx-screen-gpt55,0d772b4e1b73a5b6c8a255cb2ad983b9b8f028bf,data/train-00000-of-00001.parquet,4399304,d651daa3a1b02e2c9156197f7ac02df2a776c1f194f02a1c594f95d7ebdda59c,d651daa3a1b02e2c9156197f7ac02df2a776c1f194f02a1c594f95d7ebdda59c,True,cached,SALT-NLP--hle-ctx-screen-gpt55/0d772b4e1b73a5b6c8a255cb2ad983b9b8f028bf/data/train-00000-of-00001.parquet
SALT-NLP/hle-context-baseline-gpt54,a577878b903efbf66fe08365c0edc2d858c81679,data/train-00000-of-00001.parquet,4792109,9be5a64c75e865da56c99d12968e62b5873a2fcd7471cfb1475eb5c6fa03e1d0,9be5a64c75e865da56c99d12968e62b5873a2fcd7471cfb1475eb5c6fa03e1d0,True,cached,SALT-NLP--hle-context-baseline-gpt54/a577878b903efbf66fe08365c0edc2d858c81679/data/train-00000-of-00001.parquet
SALT-NLP/hle-ctx-screen-gpt54,fdba27c78db045c051b7496dbcd205eae34e1ccb,data/train-00000-of-00001.parquet,5159767,2c003d95dbe96b53d127f7ed055969c70af2778fae651ed49b432b41870f8461,2c003d95dbe96b53d127f7ed055969c70af2778fae651ed49b432b41870f8461,True,cached,SALT-NLP--hle-ctx-screen-gpt54/fdba27c78db045c051b7496dbcd205eae34e1ccb/data/train-00000-of-00001.parquet
SALT-NLP/hle-context-baseline-gpt41,46548b4d140d01ae7eb78f7efafccf0acd1e44c1,data/train-00000-of-00001.parquet,15968170,c9ee99de80d4633eb096c5456d189d9506d442e06b0bb4ebd06d83b30f9cd187,c9ee99de80d4633eb096c5456d189d9506d442e06b0bb4ebd06d83b30f9cd187,True,cached,SALT-NLP--hle-context-baseline-gpt41/46548b4d140d01ae7eb78f7efafccf0acd1e44c1/data/train-00000-of-00001.parquet
SALT-NLP/hle-ctx-screen-gpt41,f3530d02eb9f526526ab78cfb8d0474eb09f42ef,data/train-00000-of-00001.parquet,17076440,e166b95cb7b827c16070a855015c26af2e97288e12e988e9eb075ed7c9bdcd7d,e166b95cb7b827c16070a855015c26af2e97288e12e988e9eb075ed7c9bdcd7d,True,cached,SALT-NLP--hle-ctx-screen-gpt41/f3530d02eb9f526526ab78cfb8d0474eb09f42ef/data/train-00000-of-00001.parquet
SALT-NLP/hle-context-baseline-deep,6a7dc598a7ed847a69c63c2678688cee661dd007,data/train-00000-of-00001.parquet,9379399,600e35994c398a54ef8c3648cca2099b917180e345dbdb42ca7ac6e5052cdf13,600e35994c398a54ef8c3648cca2099b917180e345dbdb42ca7ac6e5052cdf13,True,cached,SALT-NLP--hle-context-baseline-deep/6a7dc598a7ed847a69c63c2678688cee661dd007/data/train-00000-of-00001.parquet
SALT-NLP/hle-ctx-screen-deep,a39bf0558273faaef464d5d331f9383defc3c2e0,data/train-00000-of-00001.parquet,8893561,6e244ba1e801353781be2f8f283a8fbb3c2962afa572904e298f7e3db3bfa164,6e244ba1e801353781be2f8f283a8fbb3c2962afa572904e298f7e3db3bfa164,True,cached,SALT-NLP--hle-ctx-screen-deep/a39bf0558273faaef464d5d331f9383defc3c2e0/data/train-00000-of-00001.parquet
SALT-NLP/hle-context-baseline-grok,4388c70550b788e0c02483f68e9b4dd63ed6e218,data/train-00000-of-00001.parquet,13858056,e273b5cb2a2d669bded0cce91ef274fe0d1d030935d51d510615dac892ae16b8,e273b5cb2a2d669bded0cce91ef274fe0d1d030935d51d510615dac892ae16b8,True,cached,SALT-NLP--hle-context-baseline-grok/4388c70550b788e0c02483f68e9b4dd63ed6e218/data/train-00000-of-00001.parquet
SALT-NLP/hle-ctx-screen-grok,194aa57b316b50fb22f51e75f9b9688814fa871f,data/train-00000-of-00001.parquet,13609615,c9908c7f2d753aa5a7c80abdbbc8ee54a8f0ea8bcb8602a151b1003fa60ab9a4,c9908c7f2d753aa5a7c80abdbbc8ee54a8f0ea8bcb8602a151b1003fa60ab9a4,True,cached,SALT-NLP--hle-ctx-screen-grok/194aa57b316b50fb22f51e75f9b9688814fa871f/data/train-00000-of-00001.parquet
SALT-NLP/hle-context-baseline-mistr,df100bdfd672056318dddcfb459b3fc8901fd5fc,data/train-00000-of-00001.parquet,15220097,78b33a6c2a327777e637569c9170613a5fce5ef0993a8edec70fe2f30491672b,78b33a6c2a327777e637569c9170613a5fce5ef0993a8edec70fe2f30491672b,True,cached,SALT-NLP--hle-context-baseline-mistr/df100bdfd672056318dddcfb459b3fc8901fd5fc/data/train-00000-of-00001.parquet
SALT-NLP/hle-ctx-screen-mistr,9dcd30e937f43aca44011baf341d2cd50759b700,data/train-00000-of-00001.parquet,15619222,da65a6564e4605683da64496e1e16e6abb4b89d993953196d5cc4f55b6cee1d6,da65a6564e4605683da64496e1e16e6abb4b89d993953196d5cc4f55b6cee1d6,True,cached,SALT-NLP--hle-ctx-screen-mistr/9dcd30e937f43aca44011baf341d2cd50759b700/data/train-00000-of-00001.parquet
SALT-NLP/hle-context-baseline-gptos,f0ca9ea056656a17e953ebb3a6cfb17e0042ea9b,data/train-00000-of-00001.parquet,13033005,61058227a269c1111db6f302b4a4829c8bdad19529da0e36577d393588893f11,61058227a269c1111db6f302b4a4829c8bdad19529da0e36577d393588893f11,True,cached,SALT-NLP--hle-context-baseline-gptos/f0ca9ea056656a17e953ebb3a6cfb17e0042ea9b/data/train-00000-of-00001.parquet
SALT-NLP/hle-ctx-screen-gptos,1742bcf1eb8dcd4426623e68935750270a79d3ac,data/train-00000-of-00001.parquet,12670546,e13d72bcbfb55637d3d3234ec33f380d6578ba95d28d4acab6a4e4465fcbad47,e13d72bcbfb55637d3d3234ec33f380d6578ba95d28d4acab6a4e4465fcbad47,True,cached,SALT-NLP--hle-ctx-screen-gptos/1742bcf1eb8dcd4426623e68935750270a79d3ac/data/train-00000-of-00001.parquet
SALT-NLP/hle-context-baseline-gemin,dfdc15ae4080ae8d5b1484972cff4cf40124dca9,data/train-00000-of-00001.parquet,8861804,9cf6379dbfbbae183a68b05f63e870a3e23db0dff2e1fd10c14424007aa94202,9cf6379dbfbbae183a68b05f63e870a3e23db0dff2e1fd10c14424007aa94202,True,cached,SALT-NLP--hle-context-baseline-gemin/dfdc15ae4080ae8d5b1484972cff4cf40124dca9/data/train-00000-of-00001.parquet
SALT-NLP/hle-ctx-screen-gemin,94bb67a1f0186952df0363fbb0093474f5c611f7,data/train-00000-of-00001.parquet,9132372,433359da465055c033be266ac48ee5104952f3e0d8279422fc16c174042173f2,433359da465055c033be266ac48ee5104952f3e0d8279422fc16c174042173f2,True,cached,SALT-NLP--hle-ctx-screen-gemin/94bb67a1f0186952df0363fbb0093474f5c611f7/data/train-00000-of-00001.parquet
SALT-NLP/simpleqa-verified-context-baseline-gpt55,973b0f91edcd4a304dbdd970809e2414e97035b2,data/train-00000-of-00001.parquet,971469,ddaa343143f3927348ab0a3419e47ba5440c124fe759e85de346c015e275cbe5,ddaa343143f3927348ab0a3419e47ba5440c124fe759e85de346c015e275cbe5,True,cached,SALT-NLP--simpleqa-verified-context-baseline-gpt55/973b0f91edcd4a304dbdd970809e2414e97035b2/data/train-00000-of-00001.parquet
SALT-NLP/simpleqa-verified-ctx-screen-gpt55,e3f48a7941c68ae5455f7219077f66e81696c777,data/train-00000-of-00001.parquet,1608272,2f016a75432d73dca44827e3b95f4978343bea7b644e383be4a6e1859eb109d3,2f016a75432d73dca44827e3b95f4978343bea7b644e383be4a6e1859eb109d3,True,cached,SALT-NLP--simpleqa-verified-ctx-screen-gpt55/e3f48a7941c68ae5455f7219077f66e81696c777/data/train-00000-of-00001.parquet
SALT-NLP/simpleqa-verified-context-baseline-gpt54,0eb95c0565b321b71e020aedc4ba52f62e78a0c5,data/train-00000-of-00001.parquet,1041386,670e94c8f064bda0c903e75dc446e22800a9122c010bbaa10fddbc3c7cae23c6,670e94c8f064bda0c903e75dc446e22800a9122c010bbaa10fddbc3c7cae23c6,True,cached,SALT-NLP--simpleqa-verified-context-baseline-gpt54/0eb95c0565b321b71e020aedc4ba52f62e78a0c5/data/train-00000-of-00001.parquet
SALT-NLP/simpleqa-verified-ctx-screen-gpt54,eee77d70436458b3cd8b41295cdefcf58a94422e,data/train-00000-of-00001.parquet,1653553,b778ef306137db35d1b0626eb7310c04d3aac847a73a8071084b797eca799948,b778ef306137db35d1b0626eb7310c04d3aac847a73a8071084b797eca799948,True,cached,SALT-NLP--simpleqa-verified-ctx-screen-gpt54/eee77d70436458b3cd8b41295cdefcf58a94422e/data/train-00000-of-00001.parquet
SALT-NLP/simpleqa-verified-context-baseline-gpt41,e4d08b9e5c9411f702f0cecbda675878d1939945,data/train-00000-of-00001.parquet,1877548,9ef18f7b311fd62d67c183e14ae00c76e58e209c07ef9b686c63420a9ba35f27,9ef18f7b311fd62d67c183e14ae00c76e58e209c07ef9b686c63420a9ba35f27,True,cached,SALT-NLP--simpleqa-verified-context-baseline-gpt41/e4d08b9e5c9411f702f0cecbda675878d1939945/data/train-00000-of-00001.parquet
SALT-NLP/simpleqa-verified-ctx-screen-gpt41,7684bf03b4a5d16c8623f23a5b88f0658f6bb9ea,data/train-00000-of-00001.parquet,2945459,8c04bf83bea8e134e1b4ce65708e8c36e2464f1399bd28bae598126f421e3506,8c04bf83bea8e134e1b4ce65708e8c36e2464f1399bd28bae598126f421e3506,True,cached,SALT-NLP--simpleqa-verified-ctx-screen-gpt41/7684bf03b4a5d16c8623f23a5b88f0658f6bb9ea/data/train-00000-of-00001.parquet
SALT-NLP/simpleqa-verified-context-baseline-deep,bcf1759148c184f1feeb7aead0f16e5bb61bd3cc,data/train-00000-of-00001.parquet,1856566,29de2cff8a59a7046951d0ccd4c6f3f252a2541bce02add938bae72d607a8fc7,29de2cff8a59a7046951d0ccd4c6f3f252a2541bce02add938bae72d607a8fc7,True,cached,SALT-NLP--simpleqa-verified-context-baseline-deep/bcf1759148c184f1feeb7aead0f16e5bb61bd3cc/data/train-00000-of-00001.parquet
SALT-NLP/simpleqa-verified-ctx-screen-deep,8fa02a71ddbaad52f6e851e2b4938541741525e9,data/train-00000-of-00001.parquet,3061167,0de90874196958baaffb4d1e8227083b985e7e3c099486d7eb7c4759b649f032,0de90874196958baaffb4d1e8227083b985e7e3c099486d7eb7c4759b649f032,True,cached,SALT-NLP--simpleqa-verified-ctx-screen-deep/8fa02a71ddbaad52f6e851e2b4938541741525e9/data/train-00000-of-00001.parquet
SALT-NLP/simpleqa-verified-context-baseline-grok,29ee18d152159b41f3ad82ca7a46a622a059ae57,data/train-00000-of-00001.parquet,1678874,55c7be6087b8205ee67b6940ac832a813aae344e75d416fb9113d54cf5c79d50,55c7be6087b8205ee67b6940ac832a813aae344e75d416fb9113d54cf5c79d50,True,cached,SALT-NLP--simpleqa-verified-context-baseline-grok/29ee18d152159b41f3ad82ca7a46a622a059ae57/data/train-00000-of-00001.parquet
SALT-NLP/simpleqa-verified-ctx-screen-grok,043ae0a95016eb0106c84bb76ad5a6cf1dde61db,data/train-00000-of-00001.parquet,2698249,6a59d9484546155817e1dfe4fffb62bb0fb5d61f39a97196bf58971e3a4d8338,6a59d9484546155817e1dfe4fffb62bb0fb5d61f39a97196bf58971e3a4d8338,True,cached,SALT-NLP--simpleqa-verified-ctx-screen-grok/043ae0a95016eb0106c84bb76ad5a6cf1dde61db/data/train-00000-of-00001.parquet
SALT-NLP/simpleqa-verified-context-baseline-mistr,20ed21099efc6a2312ab4ceec140556d8c79b64d,data/train-00000-of-00001.parquet,2021791,28175e6f12b1dda335c6837c2f7674067cf221ce832d7cd0795c7ef333fe2275,28175e6f12b1dda335c6837c2f7674067cf221ce832d7cd0795c7ef333fe2275,True,cached,SALT-NLP--simpleqa-verified-context-baseline-mistr/20ed21099efc6a2312ab4ceec140556d8c79b64d/data/train-00000-of-00001.parquet
SALT-NLP/simpleqa-verified-ctx-screen-mistr,7ccf6dbab1f06e64716567e6f501828694539fb6,data/train-00000-of-00001.parquet,2910108,a80e35f4b8722d682ab5f945a4822a6336102fdfc4977a4e86af4d1381c619a8,a80e35f4b8722d682ab5f945a4822a6336102fdfc4977a4e86af4d1381c619a8,True,cached,SALT-NLP--simpleqa-verified-ctx-screen-mistr/7ccf6dbab1f06e64716567e6f501828694539fb6/data/train-00000-of-00001.parquet
